title,price,room_count,sq_meters,apartment_floor,year_built,link
"3 kambarių butas Klaipėdoje, Vingio, I. Simonaitytės g. +1 ","
Kaina: 89 000 € (1 391 €/m²)

",3 kamb.,64.00 m²,3/9 a., m.,https://domoplius.lt/skelbimai/parduodamas-3-kambariu-butas-klaipedoje-vingio-i-simonaitytes-g-7206958.html
"3 kambarių butas Klaipėdoje, Žvejybos uostas, Minijos g. +1 ","
Kaina: 73 000 € (913 €/m²)

",3 kamb.,80.00 m²,2/4 a., m.,https://domoplius.lt/skelbimai/parduodamas-3-kambariu-butas-klaipedoje-zvejybos-uostas-minijos-g-7205617.html
"3 kambarių butas Klaipėdoje, Žvejybos uostas, Minijos g. +1 ","
Kaina: 110 000 € (1 341 €/m²)

",3 kamb.,82.00 m²,2/3 a., m.,https://domoplius.lt/skelbimai/parduodamas-3-kambariu-butas-klaipedoje-zvejybos-uostas-minijos-g-7203226.html
"1 kambario butas Klaipėdoje, Laukininkuose, Laukininkų g. +1 ","
Kaina: 42 000 € (955 €/m²)

",1 kamb.,44.00 m²,1/5 a., m.,https://domoplius.lt/skelbimai/parduodamas-1-kambario-butas-klaipedoje-laukininkuose-laukininku-g-7200508.html
"3 kambarių butas Klaipėdoje, Vingio, I. Simonaitytės g. +1 ","
Kaina: 62 000 € (899 €/m²)

",3 kamb.,69.00 m²,7/9 a.,1981 m.,https://domoplius.lt/skelbimai/parduodamas-3-kambariu-butas-klaipedoje-vingio-i-simonaitytes-g-7158520.html
"4 kambarių butas Klaipėdoje, Centre, J. Karoso g. +1 ","
Kaina: 159 000 € (935 €/m²)

",4 kamb.,170.00 m²,3/3 a.,1928 m.,https://domoplius.lt/skelbimai/parduodamas-4-kambariu-butas-klaipedoje-centre-j-karoso-g-7149835.html
"3 kambarių butas Klaipėdoje, Alksnynėje, Pietinė g. +1 ","
Kaina: 65 000 € (1 000 €/m²)

",3 kamb.,65.00 m²,3/5 a.,1994 m.,https://domoplius.lt/skelbimai/parduodamas-3-kambariu-butas-klaipedoje-alksnyneje-pietine-g-7149832.html
"4 kambarių butas Klaipėdoje, Centre, Pievų Tako g. +1 ","
Kaina: 175 000 € (1 667 €/m²)

",4 kamb.,105.00 m²,2/5 a.,2009 m.,https://domoplius.lt/skelbimai/parduodamas-4-kambariu-butas-klaipedoje-centre-pievu-tako-g-7138579.html
"2 kambarių butas Klaipėdoje, Baltijos, Baltijos pr. +1 ","
Kaina: 69 000 € (1 278 €/m²)

",2 kamb.,54.00 m²,9/13 a.,2005 m.,https://domoplius.lt/skelbimai/parduodamas-2-kambariu-butas-klaipedoje-baltijos-baltijos-pr-7126498.html
"3 kambarių butas Klaipėdoje, Naujakiemyje, Naujakiemio g. +1 ","
Kaina: 70 000 € (1 077 €/m²)

",3 kamb.,65.00 m²,8/9 a.,1976 m.,https://domoplius.lt/skelbimai/parduodamas-3-kambariu-butas-klaipedoje-naujakiemyje-naujakiemio-g-7116955.html
"2 kambarių butas Klaipėdoje, Senamiestyje, Bangų g. +1 ","
Kaina: 114 000 € (2 714 €/m²)

",2 kamb.,42.00 m²,1/5 a.,2019 m.,https://domoplius.lt/skelbimai/parduodamas-2-kambariu-butas-klaipedoje-senamiestyje-bangu-g-7077739.html
"3 kambarių butas Klaipėdoje, Bandužiuose, Budelkiemio g. +1 ","
Kaina: 55 000 € (714 €/m²)

",3 kamb.,77.00 m²,2/9 a.,1987 m.,https://domoplius.lt/skelbimai/parduodamas-3-kambariu-butas-klaipedoje-banduziuose-budelkiemio-g-6199363.html
"3 kambarių butas Klaipėdoje, Vėtrungėje, Taikos pr. +1 ","
Kaina: 131 000 € (1 348 €/m²)

",3 kamb.,97.19 m²,4/20 a.,2009 m.,https://domoplius.lt/skelbimai/parduodamas-3-kambariu-butas-klaipedoje-vetrungeje-taikos-pr-5187586.html
"2 kambarių butas Klaipėdoje, Alksnynėje, Taikos pr. ","
Kaina: 73 000 € (1 553 €/m²)

",2 kamb.,47.00 m²,1/9 a., m.,https://domoplius.lt/skelbimai/parduodamas-2-kambariu-butas-klaipedoje-alksnyneje-taikos-pr-7232830.html
"2 kambarių butas Klaipėdoje, Debrecene, Debreceno g. ","
Kaina: 69 700 € (1 315 €/m²)

",2 kamb.,53.00 m²,1/9 a., m.,https://domoplius.lt/skelbimai/parduodamas-2-kambariu-butas-klaipedoje-debrecene-debreceno-g-7232827.html
"2 kambarių butas Klaipėdoje, Alksnynėje, Taikos pr. ","
Kaina: 80 000 € (1 311 €/m²)

",2 kamb.,61.00 m²,2/5 a., m.,https://domoplius.lt/skelbimai/parduodamas-2-kambariu-butas-klaipedoje-alksnyneje-taikos-pr-7232824.html
"2 kambarių butas Klaipėdoje, Varpuose, Taikos pr. ","
Kaina: 103 840 € (1 598 €/m²)

",2 kamb.,65.00 m²,7/22 a., m.,https://domoplius.lt/skelbimai/parduodamas-2-kambariu-butas-klaipedoje-varpuose-taikos-pr-7232818.html
"3 kambarių butas Klaipėdoje, Varpuose, Varpų g. ","
Kaina: 115 000 € (1 917 €/m²)

",3 kamb.,60.00 m²,3/7 a., m.,https://domoplius.lt/skelbimai/parduodamas-3-kambariu-butas-klaipedoje-varpuose-varpu-g-7232815.html
"3 kambarių butas Klaipėdoje, Debrecene, Debreceno g. ","
Kaina: 67 000 € (1 218 €/m²)

",3 kamb.,55.00 m²,1/5 a., m.,https://domoplius.lt/skelbimai/parduodamas-3-kambariu-butas-klaipedoje-debrecene-debreceno-g-7232812.html
"3 kambarių butas Klaipėdoje, Mažojo kaimelio, Žolynų g. ","
Kaina: 116 900 € (1 518 €/m²)

",3 kamb.,77.00 m²,2/4 a., m.,https://domoplius.lt/skelbimai/parduodamas-3-kambariu-butas-klaipedoje-mazojo-kaimelio-zolynu-g-7232806.html
"2 kambarių butas Klaipėdoje, Bandužiuose, Mogiliovo g. ","
Kaina: 45 000 € (833 €/m²)

",2 kamb.,54.00 m²,5/5 a., m.,https://domoplius.lt/skelbimai/parduodamas-2-kambariu-butas-klaipedoje-banduziuose-mogiliovo-g-7232800.html
